"","Item","StationaryDistribution"
"Telecommunication.services.","Telecommunication services (x 1,000,000)",0.0145094741809712
"University.education.","University education (x 1,000,000)",0.0145081849260458
"Hospital.services.","Hospital services (x 1,000,000)",0.0144397755505973
"Education.","Education (x 1,000,000)",0.0143801315321184
"Other.social.services.","Other social services (x 1,000,000)",0.0143442380281749
"Food.and.non.alcoholic.beverages.","Food and non-alcoholic beverages (x 1,000,000)",0.0143425651390521
"Health.","Health (x 1,000,000)",0.0143122673627512
"Food.","Food (x 1,000,000)",0.0143060391829006
"Out.patient.services.","Out-patient services (x 1,000,000)",0.0143032962579383
"Imputed.rental.fees.for.housing.","Imputed rental fees for housing (x 1,000,000)",0.0142889857822338
"Parking.","Parking (x 1,000,000)",0.0142794207665056
"Miscellaneous.goods.and.services.","Miscellaneous goods and services (x 1,000,000)",0.0142765231839874
"Communications.","Communications (x 1,000,000)",0.014204587999562
"Water.supply.and.sanitation.services.","Water supply and sanitation services (x 1,000,000)",0.014190946386661
"Housing..water..electricity..gas.and.other.fuels.","Housing, water, electricity, gas and other fuels (x 1,000,000)",0.0141894242035744
"Paid.rental.fees.for.housing.","Paid rental fees for housing (x 1,000,000)",0.014183272183147
"Other.education.","Other education (x 1,000,000)",0.0141759390880434
"Child.care.services.outside.the.home.","Child care services outside the home (x 1,000,000)",0.0139724849549043
"Food.and.non.alcoholic.beverage.services.","Food and non-alcoholic beverage services (x 1,000,000)",0.0139622242414118
"Veterinary.and.other.services.for.pets.","Veterinary and other services for pets (x 1,000,000)",0.013889462640847
"Other.services.related.to.the.operation.of.transport.equipment.","Other services related to the operation of transport equipment (x 1,000,000)",0.0137831094445052
"Household.final.consumption.expenditure.","Household final consumption expenditure (x 1,000,000)",0.0135506423660789
"Other.services.related.to.the.dwelling.and.property.","Other services related to the dwelling and property (x 1,000,000)",0.0134841320759435
"Legal.and.other.services.","Legal and other services (x 1,000,000)",0.0133815403487575
"Food..beverage.and.accommodation.services.","Food, beverage and accommodation services (x 1,000,000)",0.013372720539182
"Undertaking.and.other.funeral.services.","Undertaking and other funeral services (x 1,000,000)",0.013178030022748
"Pets.and.pet.food.","Pets and pet food (x 1,000,000)",0.013173374268054
"Urban.transit.","Urban transit (x 1,000,000)",0.0131077030438771
"Services.for.the.maintenance.and.repair.of.the.dwelling.","Services for the maintenance and repair of the dwelling (x 1,000,000)",0.0130900967602918
"Recreational.and.sporting.services.","Recreational and sporting services (x 1,000,000)",0.0130897767647421
"Alcoholic.beverages.and.tobacco.","Alcoholic beverages and tobacco (x 1,000,000)",0.0129625339318564
"Cable..satellite.and.other.program.distribution.services.","Cable, satellite and other program distribution services (x 1,000,000)",0.0129000987264342
"Other.appliances..articles.and.products.for.personal.care.","Other appliances, articles and products for personal care (x 1,000,000)",0.0125974298389025
"Other.transport.services.","Other transport services (x 1,000,000)",0.0125400133209828
"Postal.services.","Postal services (x 1,000,000)",0.0124985593335093
"Alcoholic.beverages.","Alcoholic beverages (x 1,000,000)",0.012419448546822
"Other.cultural.services.","Other cultural services (x 1,000,000)",0.012350025424471
"Clothing.and.footwear.","Clothing and footwear (x 1,000,000)",0.0120864798991828
"Footwear.","Footwear (x 1,000,000)",0.012080248864951
"Taxi.and.limousine.","Taxi and limousine (x 1,000,000)",0.0120137887377855
"Pharmaceutical.products.and.other.medical.products.","Pharmaceutical products and other medical products (x 1,000,000)",0.0119992215448218
"Child.care.services.in.the.home.","Child care services in the home (x 1,000,000)",0.0119654241964109
"Other.personal.effects.","Other personal effects (x 1,000,000)",0.0117267381794672
"Recreation.and.culture.","Recreation and culture (x 1,000,000)",0.0116482174963129
"Other.semi.durable.household.goods.","Other semi-durable household goods (x 1,000,000)",0.0116348378626532
"Expenditure.by.Canadians.abroad.","Expenditure by Canadians abroad (x 1,000,000)",0.0116096954800527
"Other.actual.financial.charges.","Other actual financial charges (x 1,000,000)",0.0115255664958445
"Accommodation.services.","Accommodation services (x 1,000,000)",0.0115217192588953
"Other.non.durable.household.goods.","Other non-durable household goods (x 1,000,000)",0.0112751551309864
"Air.transport.","Air transport (x 1,000,000)",0.0112456926432674
"Personal.grooming.services.","Personal grooming services (x 1,000,000)",0.0111013703122872
"Non.alcoholic.beverages.","Non-alcoholic beverages (x 1,000,000)",0.0109000035539709
"Maintenance.and.repair.of.vehicles.","Maintenance and repair of vehicles (x 1,000,000)",0.0108049242789844
"Insurance.and.financial.services.","Insurance and financial services (x 1,000,000)",0.0106817718609076
"Garments.","Garments (x 1,000,000)",0.0106565352161931
"Furnishings..household.equipment.and.other.goods.and.services.related.to.the.dwelling.and.property.","Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",0.0106108192828817
"New.trucks..vans.and.sport.utility.vehicles.","New trucks, vans and sport utility vehicles (x 1,000,000)",0.0104497304673026
"Small.electric.household.appliances.","Small electric household appliances (x 1,000,000)",0.0102027515923278
"Spare.parts.and.accessories.for.vehicles.","Spare parts and accessories for vehicles (x 1,000,000)",0.00983099165390105
"Expenditure.by.non.residents.in.Canada.","Expenditure by non-residents in Canada (x 1,000,000)",0.00981208751012312
"Transport.","Transport (x 1,000,000)",0.0097383287769387
"Alcoholic.beverage.services.","Alcoholic beverage services (x 1,000,000)",0.00921924798730326
"Tobacco.","Tobacco (x 1,000,000)",0.00898420271467633
"Electrical.appliances.for.personal.care.","Electrical appliances for personal care (x 1,000,000)",0.00896579898263957
"Clothing.materials..other.articles.of.clothing.and.clothing.accessories.","Clothing materials, other articles of clothing and clothing accessories (x 1,000,000)",0.0087542874930686
"Equipment.for.sport..camping.and.open.air.recreation.","Equipment for sport, camping and open-air recreation (x 1,000,000)",0.00869725742696706
"Trusteed.pension.funds.","Trusteed pension funds (x 1,000,000)",0.0085746297902192
"Telecommunication.equipment.","Telecommunication equipment (x 1,000,000)",0.00856164112197616
"Jewellery..clocks.and.watches.","Jewellery, clocks and watches (x 1,000,000)",0.00839946047436917
"Therapeutic.appliances.and.equipment.","Therapeutic appliances and equipment (x 1,000,000)",0.00809152449653309
"Life.insurance.","Life insurance (x 1,000,000)",0.00757281755557193
"Health.insurance.","Health insurance (x 1,000,000)",0.00707547689714421
"Electricity.","Electricity (x 1,000,000)",0.00706488022910222
"Small.tools.and.miscellaneous.accessories.","Small tools and miscellaneous accessories (x 1,000,000)",0.00703471086283855
"Recording.media.","Recording media (x 1,000,000)",0.00701363750978124
"Passenger.vehicle.renting.","Passenger vehicle renting (x 1,000,000)",0.00659114769629691
"Interurban.bus.","Interurban bus (x 1,000,000)",0.00638332496674625
"Stock.and.bond.commissions.","Stock and bond commissions (x 1,000,000)",0.00589667199149588
"Garden.products..plants.and.flowers.","Garden products, plants and flowers (x 1,000,000)",0.00587792600232961
"Photographic.services.","Photographic services (x 1,000,000)",0.00587127262798765
"Used.motor.vehicles.","Used motor vehicles (x 1,000,000)",0.00551257810303692
"Other.vehicles.","Other vehicles (x 1,000,000)",0.00550453747656912
"Audio.visual.and.photographic.equipment.","Audio-visual and photographic equipment (x 1,000,000)",0.00521951276640678
"Mutual.funds.","Mutual funds (x 1,000,000)",0.00483370386871897
"Games..toys.and.hobbies.","Games, toys and hobbies (x 1,000,000)",0.00467667407689962
"Information.processing.equipment.","Information processing equipment (x 1,000,000)",0.00440338255480526
"Household.textiles.","Household textiles (x 1,000,000)",0.00439683366131543
"Water.transport.","Water transport (x 1,000,000)",0.00435189493562187
"Cleaning.of.clothing.","Cleaning of clothing (x 1,000,000)",0.00412354337862984
"Miscellaneous.printed.matter.and.stationery.and.drawing.materials.","Miscellaneous printed matter and stationery and drawing materials (x 1,000,000)",0.00379011506414483
"Major.household.appliances.","Major household appliances (x 1,000,000)",0.00347455878533911
"Furniture.and.furnishings.","Furniture and furnishings (x 1,000,000)",0.00335912589185337
"Materials.for.the.maintenance.and.repair.of.the.dwelling.","Materials for the maintenance and repair of the dwelling (x 1,000,000)",0.00291423193580501
"Major.durables.for.outdoor.recreation.","Major durables for outdoor recreation (x 1,000,000)",0.00285783854821401
"Books.","Books (x 1,000,000)",0.00214845115767623
"Repair.of.personal.and.household.goods.except.vehicles.","Repair of personal and household goods except vehicles (x 1,000,000)",0.00214838262089072
"Net.expenditure.abroad.","Net expenditure abroad (x 1,000,000)",0.00193732362211047
"Cinemas.","Cinemas (x 1,000,000)",0.00145520362236401
"Newspapers.and.periodicals.","Newspapers and periodicals (x 1,000,000)",0.00141767393699936
"Musical.instruments.and.major.durables.for.indoor.recreation.","Musical instruments and major durables for indoor recreation (x 1,000,000)",0.00138347036604417
"Renting.and.leasing.of.personal.and.household.goods.except.passenger.vehicles.","Renting and leasing of personal and household goods except passenger vehicles (x 1,000,000)",0.00138131863462196
"Railway.transport.","Railway transport (x 1,000,000)",0.00136668071499309
"Implicit.deposit.charges.","Implicit deposit charges (x 1,000,000)",0.00116537258422717
"Carpets.and.other.floor.coverings.","Carpets and other floor coverings (x 1,000,000)",0.00111157711775509
"Fuels.and.lubricants.","Fuels and lubricants (x 1,000,000)",0.00108703533678498
"Other.fuels.","Other fuels (x 1,000,000)",0.000908639795533143
"Insurance.related.to.transport.","Insurance related to transport (x 1,000,000)",0.000894030378352521
"Implicit.loan.charges.","Implicit loan charges (x 1,000,000)",0.000882559094689165
"Property.insurance.","Property insurance (x 1,000,000)",0.000785535220277336
"Major.tools.and.equipment.","Major tools and equipment (x 1,000,000)",0.000706623503684937
"Gas.","Gas (x 1,000,000)",0.000576043135448178
"New.passenger.cars.","New passenger cars (x 1,000,000)",0.000483699099147469
"Games.of.chance.","Games of chance (x 1,000,000)",0.00045135353895747
